Time,Voltage (V)
-0.0718552,0.8479597160000001
-0.07185517999999999,0.8479597160000001
-0.07185515999999999,0.8479597160000001
-0.07185514,0.8485671370000001
-0.07185512,0.8491745580000001
-0.07185509999999999,0.8491745580000001
-0.07185507999999999,0.8485671370000001
-0.07185506,0.8479597160000001
-0.07185504,0.8479597160000001
-0.07185501999999999,0.8479597160000001
-0.07185499999999999,0.8485671370000001
-0.07185498,0.8491745580000001
-0.07185496,0.8497819790000001
-0.07185493999999999,0.8503894000000001
-0.07185491999999999,0.8503894000000001
-0.0718549,0.8497819790000001
-0.07185488,0.8491745580000001
-0.07185485999999999,0.8491745580000001
-0.07185483999999999,0.8479597160000001
-0.07185482,0.846744874
-0.0718548,0.846137453
-0.07185478,0.846137453
-0.07185475999999999,0.846137453
-0.07185474,0.846744874
-0.07185472,0.846744874
-0.0718547,0.8473522950000001
-0.07185467999999999,0.8473522950000001
-0.07185466,0.8479597160000001
-0.07185464,0.8479597160000001
-0.07185462,0.8485671370000001
-0.07185459999999999,0.8479597160000001
-0.07185457999999999,0.8491745580000001
-0.07185456,0.8497819790000001
-0.07185454,0.8503894000000001
-0.07185451999999999,0.8509968210000001
-0.07185449999999999,0.8522116630000001
-0.07185448,0.8528190840000001
-0.07185446,0.8534265050000001
-0.07185443999999999,0.8534265050000001
-0.07185441999999999,0.8528190840000001
-0.0718544,0.8522116630000001
-0.07185438,0.8528190840000001
-0.07185435999999999,0.8528190840000001
-0.07185433999999999,0.8528190840000001
-0.07185432,0.8509968210000001
-0.0718543,0.8491745580000001
-0.07185427999999999,0.8485671370000001
-0.07185425999999999,0.8473522950000001
-0.07185424,0.8473522950000001
-0.07185422,0.8473522950000001
-0.0718542,0.8473522950000001
-0.07185417999999999,0.846744874
-0.07185416,0.846137453
-0.07185414,0.845530032
-0.07185412,0.844922611
-0.07185409999999999,0.844922611
-0.07185408,0.845530032
-0.07185406,0.845530032
-0.07185404,0.844922611
-0.07185401999999999,0.84431519
-0.07185399999999999,0.84431519
-0.07185398,0.84431519
-0.07185396,0.84431519
-0.07185393999999999,0.845530032
-0.07185391999999999,0.845530032
-0.0718539,0.846137453
-0.07185388,0.846137453
-0.07185385999999999,0.845530032
-0.07185383999999999,0.845530032
-0.07185382,0.844922611
-0.0718538,0.845530032
-0.07185377999999999,0.846137453
-0.07185375999999999,0.846137453
-0.07185374,0.846137453
-0.07185372,0.845530032
-0.07185369999999999,0.845530032
-0.07185367999999999,0.844922611
-0.07185366,0.84431519
-0.07185364,0.843707769
-0.07185361999999999,0.844922611
-0.07185359999999999,0.845530032
-0.07185358,0.846744874
-0.07185356,0.8479597160000001
-0.07185354,0.8485671370000001
-0.07185351999999999,0.8491745580000001
-0.0718535,0.8503894000000001
-0.07185348,0.8503894000000001
-0.07185346,0.8509968210000001
-0.07185343999999999,0.8497819790000001
-0.07185341999999999,0.8485671370000001
-0.0718534,0.846744874
-0.07185338,0.845530032
-0.07185335999999999,0.844922611
-0.07185333999999999,0.84431519
-0.07185332,0.843100348
-0.0718533,0.843100348
-0.07185327999999999,0.843100348
-0.07185325999999999,0.843707769
-0.07185324,0.84431519
-0.07185322,0.846137453
-0.07185319999999999,0.846744874
-0.07185317999999999,0.8479597160000001
-0.07185316,0.8497819790000001
-0.07185314,0.8522116630000001
-0.07185311999999999,0.854641347
-0.07185309999999999,0.855856189
-0.07185308,0.855856189
-0.07185306,0.855248768
-0.07185303999999999,0.854641347
-0.07185301999999999,0.8528190840000001
-0.071853,0.8509968210000001
-0.07185298,0.8497819790000001
-0.07185296,0.8479597160000001
-0.07185293999999999,0.846744874
-0.07185292,0.846137453
-0.0718529,0.846137453
-0.07185288,0.846744874
-0.07185285999999999,0.8473522950000001
-0.07185283999999999,0.8485671370000001
-0.07185282,0.8491745580000001
-0.0718528,0.8485671370000001
-0.07185277999999999,0.8479597160000001
-0.07185275999999999,0.8485671370000001
-0.07185274,0.8491745580000001
-0.07185272,0.8491745580000001
-0.07185269999999999,0.8491745580000001
-0.07185267999999999,0.8503894000000001
-0.07185266,0.8522116630000001
-0.07185264,0.854033926
-0.07185261999999999,0.85646361
-0.07185259999999999,0.857071031
-0.07185258,0.857678452
-0.07185256,0.857071031
-0.07185253999999999,0.855856189
-0.07185251999999999,0.854033926
-0.0718525,0.8528190840000001
-0.07185248,0.8522116630000001
-0.07185245999999999,0.8516042420000001
-0.07185243999999999,0.8503894000000001
-0.07185242,0.8497819790000001
-0.0718524,0.8491745580000001
-0.07185238,0.8485671370000001
-0.07185235999999999,0.8479597160000001
-0.07185234,0.846744874
-0.07185232,0.845530032
-0.0718523,0.844922611
-0.07185227999999999,0.84431519
-0.07185225999999999,0.843707769
-0.07185224,0.843707769
-0.07185222,0.84431519
-0.07185219999999999,0.844922611
-0.07185217999999999,0.846744874
-0.07185216,0.8485671370000001
-0.07185214,0.8497819790000001
-0.07185211999999999,0.8497819790000001
-0.07185209999999999,0.8491745580000001
-0.07185208,0.8491745580000001
-0.07185206,0.8485671370000001
-0.07185203999999999,0.8485671370000001
-0.07185201999999999,0.8473522950000001
-0.071852,0.846744874
-0.07185198,0.846744874
-0.07185195999999999,0.846744874
-0.07185193999999999,0.846137453
-0.07185192,0.846137453
-0.0718519,0.846137453
-0.07185187999999999,0.846137453
-0.07185185999999999,0.845530032
-0.07185184,0.844922611
-0.07185182,0.844922611
-0.0718518,0.844922611
-0.07185177999999999,0.845530032
-0.07185176,0.846137453
-0.07185174,0.845530032
-0.07185172,0.84431519
-0.07185169999999999,0.843707769
-0.07185167999999999,0.843707769
-0.07185166,0.84431519
-0.07185164,0.84431519
-0.07185161999999999,0.844922611
-0.07185159999999999,0.845530032
-0.07185158,0.844922611
-0.07185156,0.844922611
-0.07185153999999999,0.84431519
-0.07185151999999999,0.843707769
-0.0718515,0.84431519
-0.07185148,0.844922611
-0.07185145999999999,0.846744874
-0.07185143999999999,0.8479597160000001
-0.07185142,0.8485671370000001
-0.0718514,0.8485671370000001
-0.07185137999999999,0.8491745580000001
-0.07185135999999999,0.8491745580000001
-0.07185134,0.8479597160000001
-0.07185132,0.8473522950000001
-0.07185129999999999,0.8479597160000001
-0.07185127999999999,0.8479597160000001
-0.07185126,0.8479597160000001
-0.07185124,0.8473522950000001
-0.07185122,0.846744874
-0.07185119999999999,0.845530032
-0.07185118,0.84431519
-0.07185116,0.843707769
-0.07185114,0.843707769
-0.07185111999999999,0.84431519
-0.07185109999999999,0.846137453
-0.07185108,0.8473522950000001
-0.07185106,0.8473522950000001
-0.07185103999999999,0.8473522950000001
-0.07185101999999999,0.8479597160000001
-0.071851,0.8479597160000001
-0.07185098,0.8485671370000001
-0.07185095999999999,0.8479597160000001
-0.07185093999999999,0.8473522950000001
-0.07185092,0.846137453
-0.0718509,0.845530032
-0.07185087999999999,0.844922611
-0.07185085999999999,0.844922611
-0.07185084,0.84431519
-0.07185082,0.844922611
-0.07185079999999999,0.846137453
-0.07185077999999999,0.846744874
-0.07185076,0.8473522950000001
-0.07185074,0.8473522950000001
-0.07185071999999999,0.8473522950000001
-0.07185069999999999,0.8479597160000001
-0.07185068,0.8479597160000001
-0.07185066,0.8479597160000001
-0.07185064,0.8473522950000001
-0.07185061999999999,0.8479597160000001
-0.0718506,0.8473522950000001
-0.07185058,0.8479597160000001
-0.07185056,0.846744874
-0.07185053999999999,0.846744874
-0.07185051999999999,0.8473522950000001
-0.0718505,0.8479597160000001
-0.07185048,0.8491745580000001
-0.07185045999999999,0.8497819790000001
-0.07185043999999999,0.8497819790000001
-0.07185042,0.8503894000000001
-0.0718504,0.8497819790000001
-0.07185037999999999,0.8497819790000001
-0.07185035999999999,0.8491745580000001
-0.07185034,0.8491745580000001
-0.07185032,0.8491745580000001
-0.07185029999999999,0.8491745580000001
-0.07185027999999999,0.8485671370000001
-0.07185026,0.8485671370000001
-0.07185024,0.8491745580000001
-0.07185021999999999,0.8497819790000001
-0.07185019999999999,0.8503894000000001
-0.07185018,0.8516042420000001
-0.07185016,0.8522116630000001
-0.07185013999999999,0.8534265050000001
-0.07185011999999999,0.8534265050000001
-0.0718501,0.854033926
-0.07185008,0.854033926
-0.07185006,0.8534265050000001
-0.07185003999999999,0.8516042420000001
-0.07185002,0.8503894000000001
-0.07185,0.8497819790000001
-0.07184998,0.8497819790000001
-0.07184995999999999,0.8491745580000001
-0.07184993999999999,0.8497819790000001
-0.07184992,0.8497819790000001
-0.0718499,0.8509968210000001
-0.07184987999999999,0.8516042420000001
-0.07184985999999999,0.8522116630000001
