Time,Voltage (V)
-0.02629998,0.525419165
-0.026299972,0.524811744
-0.026299964000000002,0.524811744
-0.026299956,0.524811744
-0.026299948,0.524204323
-0.02629994,0.524811744
-0.026299932,0.524204323
-0.026299924000000002,0.524811744
-0.026299916,0.524811744
-0.026299908,0.524811744
-0.0262999,0.524811744
-0.026299892000000002,0.525419165
-0.026299884,0.5260265860000001
-0.026299876,0.5266340070000001
-0.026299868,0.5272414280000001
-0.02629986,0.5278488490000001
-0.026299852000000002,0.5284562700000001
-0.026299844,0.529671112
-0.026299836,0.530278533
-0.026299828,0.531493375
-0.02629982,0.532100796
-0.026299812000000002,0.532708217
-0.026299804,0.533315638
-0.026299796,0.533923059
-0.026299788,0.533923059
-0.026299780000000002,0.533923059
-0.026299772,0.533923059
-0.026299764,0.533315638
-0.026299756,0.532708217
-0.026299748,0.532708217
-0.026299740000000002,0.532100796
-0.026299732,0.531493375
-0.026299724,0.530885954
-0.026299716,0.530885954
-0.026299708,0.530278533
-0.026299700000000002,0.530278533
-0.026299692,0.530278533
-0.026299684,0.530278533
-0.026299676,0.529671112
-0.026299668000000002,0.529671112
-0.02629966,0.5290636910000001
-0.026299652,0.5290636910000001
-0.026299644,0.5284562700000001
-0.026299636,0.5284562700000001
-0.026299628000000002,0.5284562700000001
-0.02629962,0.5284562700000001
-0.026299612,0.5278488490000001
-0.026299604,0.5278488490000001
-0.026299596,0.5272414280000001
-0.026299588000000002,0.5272414280000001
-0.02629958,0.5266340070000001
-0.026299572,0.5266340070000001
-0.026299564,0.5260265860000001
-0.026299556,0.525419165
-0.026299548,0.524811744
-0.02629954,0.524204323
-0.026299532,0.524204323
-0.026299524,0.523596902
-0.026299516000000002,0.522989481
-0.026299508,0.52238206
-0.0262995,0.52238206
-0.026299492,0.52238206
-0.026299484,0.521774639
-0.026299476000000002,0.521774639
-0.026299468,0.521167218
-0.02629946,0.521167218
-0.026299452,0.520559797
-0.026299444,0.520559797
-0.026299436,0.519952376
-0.026299428,0.520559797
-0.02629942,0.519952376
-0.026299412,0.519952376
-0.026299404000000002,0.519344955
-0.026299396,0.519344955
-0.026299388,0.519344955
-0.02629938,0.518737534
-0.026299372,0.518130113
-0.026299364000000002,0.518130113
-0.026299356,0.517522692
-0.026299348,0.518130113
-0.02629934,0.517522692
-0.026299332,0.517522692
-0.026299324,0.517522692
-0.026299316,0.517522692
-0.026299308,0.517522692
-0.0262993,0.517522692
-0.026299292000000002,0.518130113
-0.026299284,0.518130113
-0.026299276,0.518130113
-0.026299268,0.518130113
-0.02629926,0.517522692
-0.026299252000000002,0.517522692
-0.026299244,0.517522692
-0.026299236,0.517522692
-0.026299228,0.516915271
-0.02629922,0.516915271
-0.026299212,0.51630785
-0.026299204,0.51630785
-0.026299196,0.51630785
