Trace1,
Freq,,Amp,,
             2159946,Hz,             -100.00, dBm,
             2173279,Hz,             -103.66, dBm,
             2186612,Hz,              -99.12, dBm,
             2199945,Hz,             -102.56, dBm,
             2213278,Hz,              -99.67, dBm,
             2226611,Hz,             -101.90, dBm,
             2239944,Hz,              -97.90, dBm,
             2253277,Hz,             -105.86, dBm,
             2266610,Hz,              -97.58, dBm,
             2279943,Hz,              -99.52, dBm,
             2293276,Hz,              -97.97, dBm,
             2306609,Hz,             -106.93, dBm,
             2319942,Hz,             -103.16, dBm,
             2333275,Hz,              -99.20, dBm,
             2346608,Hz,              -97.45, dBm,
             2359941,Hz,              -91.53, dBm,
             2373274,Hz,              -97.58, dBm,
             2386607,Hz,              -98.53, dBm,
             2399940,Hz,             -102.24, dBm,
             2413273,Hz,              -96.27, dBm,
             2426606,Hz,             -100.64, dBm,
             2439939,Hz,              -96.61, dBm,
             2453272,Hz,             -107.94, dBm,
             2466605,Hz,             -107.73, dBm,
             2479938,Hz,             -104.07, dBm,
             2493271,Hz,              -94.53, dBm,
             2506604,Hz,             -100.83, dBm,
             2519937,Hz,             -100.37, dBm,
             2533270,Hz,             -102.24, dBm,
             2546603,Hz,             -102.93, dBm,
             2559936,Hz,              -97.85, dBm,
             2573269,Hz,              -98.05, dBm,
             2586602,Hz,             -103.68, dBm,
             2599935,Hz,              -94.72, dBm,
             2613268,Hz,             -102.70, dBm,
             2626601,Hz,              -97.92, dBm,
             2639934,Hz,             -106.58, dBm,
             2653267,Hz,              -97.73, dBm,
             2666600,Hz,              -98.91, dBm,
             2679933,Hz,              -96.18, dBm,
             2693266,Hz,              -96.29, dBm,
             2706599,Hz,              -91.55, dBm,
             2719932,Hz,             -101.12, dBm,
             2733265,Hz,              -98.55, dBm,
             2746598,Hz,             -105.56, dBm,
             2759931,Hz,             -101.62, dBm,
             2773264,Hz,             -101.42, dBm,
             2786597,Hz,              -98.48, dBm,
             2799930,Hz,             -101.62, dBm,
             2813263,Hz,              -97.73, dBm,
             2826596,Hz,             -102.60, dBm,
             2839929,Hz,             -107.34, dBm,
             2853262,Hz,              -97.05, dBm,
             2866595,Hz,              -98.42, dBm,
             2879928,Hz,              -98.07, dBm,
             2893261,Hz,              -94.37, dBm,
             2906594,Hz,             -103.19, dBm,
             2919927,Hz,             -100.05, dBm,
             2933260,Hz,              -99.08, dBm,
             2946593,Hz,              -99.71, dBm,
             2959926,Hz,             -104.66, dBm,
             2973259,Hz,              -99.55, dBm,
             2986592,Hz,              -97.11, dBm,
             2999925,Hz,              -99.47, dBm,
             3013258,Hz,              -91.69, dBm,
             3026591,Hz,              -97.81, dBm,
             3039924,Hz,             -102.72, dBm,
             3053257,Hz,              -95.27, dBm,
             3066590,Hz,              -99.64, dBm,
             3079923,Hz,             -103.58, dBm,
             3093256,Hz,             -101.95, dBm,
             3106589,Hz,             -102.06, dBm,
             3119922,Hz,             -102.17, dBm,
             3133255,Hz,             -100.77, dBm,
             3146588,Hz,             -105.74, dBm,
