Trace1,
Freq,,Amp,,
            80649894,Hz,              -68.44, dBm,
            80666560,Hz,              -68.98, dBm,
            80683226,Hz,              -68.58, dBm,
            80699892,Hz,              -63.58, dBm,
            80716558,Hz,              -70.76, dBm,
            80733224,Hz,              -64.22, dBm,
            80749890,Hz,              -68.71, dBm,
            80766556,Hz,              -69.14, dBm,
            80783222,Hz,              -70.84, dBm,
            80799888,Hz,              -77.57, dBm,
            80816554,Hz,              -72.35, dBm,
            80833220,Hz,              -74.88, dBm,
            80849886,Hz,              -69.62, dBm,
            80866552,Hz,              -74.43, dBm,
            80883218,Hz,              -76.16, dBm,
            80899884,Hz,              -76.23, dBm,
            80916550,Hz,              -79.73, dBm,
            80933216,Hz,              -76.02, dBm,
            80949882,Hz,              -67.37, dBm,
            80966548,Hz,              -69.34, dBm,
            80983214,Hz,              -77.00, dBm,
            80999880,Hz,              -75.38, dBm,
            81016546,Hz,              -72.30, dBm,
            81033212,Hz,              -75.43, dBm,
            81049878,Hz,              -82.88, dBm,
            81066544,Hz,              -74.20, dBm,
            81083210,Hz,              -69.85, dBm,
            81099876,Hz,              -70.66, dBm,
            81116542,Hz,              -74.54, dBm,
            81133208,Hz,              -76.70, dBm,
            81149874,Hz,              -79.30, dBm,
            81166540,Hz,              -75.11, dBm,
            81183206,Hz,              -69.15, dBm,
            81199872,Hz,              -70.70, dBm,
            81216538,Hz,              -86.31, dBm,
            81233204,Hz,              -74.77, dBm,
            81249870,Hz,              -82.42, dBm,
            81266536,Hz,              -77.74, dBm,
            81283202,Hz,              -81.43, dBm,
            81299868,Hz,              -74.21, dBm,
            81316534,Hz,              -80.90, dBm,
            81333200,Hz,              -80.06, dBm,
            81349866,Hz,              -74.82, dBm,
            81366532,Hz,              -83.85, dBm,
            81383198,Hz,              -77.58, dBm,
            81399864,Hz,              -83.80, dBm,
            81416530,Hz,              -78.74, dBm,
            81433196,Hz,              -82.33, dBm,
            81449862,Hz,              -77.15, dBm,
            81466528,Hz,              -77.64, dBm,
            81483194,Hz,              -77.01, dBm,
            81499860,Hz,              -85.30, dBm,
            81516526,Hz,              -76.28, dBm,
            81533192,Hz,              -60.87, dBm,
            81549858,Hz,              -72.32, dBm,
            81566524,Hz,              -74.88, dBm,
            81583190,Hz,              -80.58, dBm,
            81599856,Hz,              -76.60, dBm,
            81616522,Hz,              -86.22, dBm,
            81633188,Hz,              -79.41, dBm,
            81649854,Hz,              -85.75, dBm,
            81666520,Hz,              -82.50, dBm,
            81683186,Hz,              -81.85, dBm,
            81699852,Hz,              -77.23, dBm,
            81716518,Hz,              -76.51, dBm,
            81733184,Hz,              -81.07, dBm,
            81749850,Hz,              -83.13, dBm,
            81766516,Hz,              -83.64, dBm,
            81783182,Hz,              -77.11, dBm,
            81799848,Hz,              -85.36, dBm,
            81816514,Hz,              -83.52, dBm,
            81833180,Hz,              -79.05, dBm,
            81849846,Hz,              -87.76, dBm,
            81866512,Hz,              -83.57, dBm,
            81883178,Hz,              -77.80, dBm,
            81899844,Hz,              -86.64, dBm,
            81916510,Hz,              -90.80, dBm,
            81933176,Hz,              -82.40, dBm,
            81949842,Hz,              -81.95, dBm,
            81966508,Hz,              -79.47, dBm,
